frame,tp,fp,fn,idsw,precision,recall
0,9,0,4,0,1.0,0.6923
1,8,1,5,0,0.8889,0.6154
2,9,1,6,0,0.9,0.6
3,8,1,6,0,0.8889,0.5714
4,8,1,6,0,0.8889,0.5714
5,7,1,7,0,0.875,0.5
6,8,1,5,0,0.8889,0.6154
7,7,2,4,0,0.7778,0.6364
8,9,0,3,1,1.0,0.75
9,9,0,3,0,1.0,0.75
10,9,0,3,0,1.0,0.75
11,8,1,4,0,0.8889,0.6667
12,9,1,3,0,0.9,0.75
13,7,2,5,0,0.7778,0.5833
14,7,2,5,0,0.7778,0.5833
15,9,0,3,1,1.0,0.75
16,7,1,5,0,0.875,0.5833
17,7,2,4,0,0.7778,0.6364
18,6,3,4,0,0.6667,0.6
19,7,0,2,0,1.0,0.7778
20,7,1,2,0,0.875,0.7778
21,6,3,2,0,0.6667,0.75
22,6,2,2,0,0.75,0.75
23,6,1,2,0,0.8571,0.75
24,6,1,2,0,0.8571,0.75
25,7,0,2,0,1.0,0.7778
26,7,0,2,0,1.0,0.7778
27,7,0,3,0,1.0,0.7
28,6,0,4,0,1.0,0.6
29,7,0,4,0,1.0,0.6364
30,8,0,3,0,1.0,0.7273
31,7,3,4,0,0.7,0.6364
32,6,4,5,0,0.6,0.5455
33,4,5,6,0,0.4444,0.4
34,5,1,5,0,0.8333,0.5
35,5,1,5,0,0.8333,0.5
36,4,1,6,0,0.8,0.4
37,6,1,3,0,0.8571,0.6667
38,6,2,4,0,0.75,0.6
39,6,3,5,0,0.6667,0.5455
40,9,0,2,0,1.0,0.8182
41,8,1,3,0,0.8889,0.7273
42,7,1,2,0,0.875,0.7778
43,7,0,3,0,1.0,0.7
44,7,0,4,0,1.0,0.6364
45,7,0,3,0,1.0,0.7
46,7,0,4,1,1.0,0.6364
47,6,1,4,1,0.8571,0.6
48,7,1,2,0,0.875,0.7778
49,4,5,4,0,0.4444,0.5
50,7,1,2,0,0.875,0.7778
51,7,2,3,0,0.7778,0.7
52,6,2,3,0,0.75,0.6667
53,6,2,3,0,0.75,0.6667
54,7,0,2,0,1.0,0.7778
55,7,0,2,0,1.0,0.7778
56,7,0,1,0,1.0,0.875
57,6,1,2,0,0.8571,0.75
58,6,1,2,0,0.8571,0.75
59,6,1,2,0,0.8571,0.75
60,6,1,2,0,0.8571,0.75
61,6,1,2,0,0.8571,0.75
62,6,1,2,0,0.8571,0.75
63,6,1,2,0,0.8571,0.75
64,5,1,3,0,0.8333,0.625
65,5,1,3,0,0.8333,0.625
66,5,1,3,0,0.8333,0.625
67,5,1,2,0,0.8333,0.7143
68,5,1,2,0,0.8333,0.7143
69,5,1,2,0,0.8333,0.7143
70,5,1,2,0,0.8333,0.7143
71,6,0,1,0,1.0,0.8571
72,7,0,0,0,1.0,1.0
73,7,1,0,0,0.875,1.0
74,7,1,0,0,0.875,1.0
75,4,3,3,0,0.5714,0.5714
76,5,4,3,0,0.5556,0.625
77,4,4,3,0,0.5,0.5714
78,4,4,4,0,0.5,0.5
79,4,4,4,0,0.5,0.5
80,4,4,4,0,0.5,0.5
81,4,4,4,0,0.5,0.5
82,6,2,3,0,0.75,0.6667
83,6,2,3,0,0.75,0.6667
84,4,4,6,0,0.5,0.4
85,6,2,5,0,0.75,0.5455
86,7,1,4,0,0.875,0.6364
87,7,2,4,0,0.7778,0.6364
88,6,3,4,0,0.6667,0.6
89,7,1,4,0,0.875,0.6364
90,7,1,3,0,0.875,0.7
91,5,3,4,0,0.625,0.5556
