frame,tid,cx,cy,yaw,hit,speed,moving,score,length
0,1,7.069495,-19.092510,-1.481067,1,0.000000,0,92.000000,1.008153
0,2,14.695926,30.259607,-3.741503,1,0.000000,0,5.000000,0.547295
0,3,30.956562,-27.816603,-3.312927,1,0.000000,0,14.000000,1.560768
0,4,22.388079,8.093415,-2.760779,1,0.000000,0,22.000000,0.958763
0,5,17.283369,11.198191,-1.771159,1,0.000000,0,214.000000,3.169070
0,6,16.856041,37.701538,-1.806546,1,0.000000,0,5.000000,0.517576
0,7,40.230064,-9.118345,-0.947088,1,0.000000,0,18.000000,1.230755
0,8,40.410744,-0.486979,-2.982406,1,0.000000,0,19.000000,1.008988
1,1,7.514033,-19.090223,-1.433754,1,0.367837,0,98.000000,0.985332
1,2,14.719121,30.388147,-3.322291,1,0.108078,0,6.000000,0.951317
1,3,30.981095,-28.108689,-3.062861,1,0.242537,0,17.000000,3.409565
1,4,21.673943,7.858530,-2.851761,1,0.622051,0,21.000000,0.752126
1,5,16.793796,11.082848,-1.870095,1,0.416187,0,127.000000,3.004837
1,7,40.193735,-9.174236,-0.890963,1,0.055158,0,18.000000,1.251007
1,8,41.216761,-0.523824,-3.135286,1,0.667633,0,4.000000,0.524384
1,6,16.856041,37.701538,-1.806546,0,0.000000,0,5.000000,0.517576
2,1,7.978665,-19.077573,-1.392929,1,1.286262,0,97.000000,1.219053
2,2,14.706618,30.347733,-3.805955,1,0.012181,0,5.000000,0.549541
2,3,31.001534,-28.159011,-3.041490,1,0.303753,0,13.000000,2.833555
2,4,20.878622,7.780935,-2.905482,1,2.194109,0,27.000000,1.122639
2,5,16.441279,10.937069,-1.522473,1,1.142453,0,78.000000,2.075130
2,6,16.801008,37.164055,-1.956920,1,0.717744,0,5.000000,0.497369
2,7,40.109128,-9.224831,-0.960772,1,0.251171,0,15.000000,1.170271
2,8,41.980454,-0.162363,-2.836189,1,2.289534,0,3.000000,0.274438
2,9,33.772770,9.633088,-2.804889,1,0.000000,0,8.000000,0.650009
3,1,8.575464,-19.062379,-1.321583,1,2.582626,0,99.000000,0.912060
3,2,14.723855,30.290118,-3.965609,1,0.166458,0,2.000000,0.541941
3,3,31.007752,-28.226202,-3.079122,1,0.405881,0,13.000000,3.356445
3,4,19.880808,7.721927,-3.055210,1,4.349627,0,31.000000,0.934523
3,5,15.620551,10.992391,-2.074239,1,3.051493,0,56.000000,1.936345
3,7,40.099711,-9.217650,-0.893100,1,0.194014,0,14.000000,1.241997
3,9,33.121455,9.427630,-2.616705,1,0.565107,0,4.000000,0.443085
3,6,16.793697,37.092654,-1.956920,0,0.717744,0,5.000000,0.497369
4,1,9.301803,-19.043347,-1.521538,1,3.869543,0,97.000000,1.275082
4,2,14.940099,30.276312,-4.434009,1,0.641718,0,8.000000,2.132160
4,3,31.043787,-28.446633,-2.968094,1,0.908098,0,11.000000,2.592308
4,4,18.696953,7.634323,-2.818096,1,6.416186,1,25.000000,0.897045
4,5,14.826236,10.898802,-1.697373,1,4.407630,0,7.000000,0.398897
4,7,40.090602,-9.210484,-0.929680,1,0.157223,0,18.000000,1.415638
4,6,16.786387,37.021253,-1.956920,0,0.717744,0,5.000000,0.497369
4,9,33.067562,9.410630,-2.616705,0,0.565107,0,4.000000,0.443085
5,1,10.046521,-19.012521,-1.226893,1,4.767566,1,88.000000,0.887623
5,2,14.908306,30.441729,-4.907123,1,0.488508,0,12.000000,1.712433
5,3,31.010404,-28.078149,-3.472910,1,0.252476,0,8.000000,0.954628
5,6,16.576505,36.275362,-1.570796,1,2.078267,0,1.000000,0.497369
5,7,40.121700,-9.153160,-0.979660,1,0.117786,0,11.000000,1.268429
5,9,31.519735,9.290164,-2.719482,1,4.047617,0,5.000000,0.505976
5,10,30.608566,12.793026,-2.798614,1,0.000000,0,3.000000,0.407742
6,1,10.801242,-18.969529,-1.224121,1,5.392063,1,87.000000,1.108485
6,2,14.798525,30.343906,-4.605870,1,0.056043,0,5.000000,0.342873
6,3,31.022628,-28.351832,-2.984058,1,0.419901,0,3.000000,2.058937
6,6,16.501528,35.900336,-1.969249,1,2.408829,0,4.000000,0.724358
6,7,40.342527,-9.006679,-6.672144,1,0.624438,0,4.000000,0.146841
6,9,30.229832,9.190157,-2.658918,1,6.193139,0,17.000000,0.859036
6,10,29.709120,12.706784,-3.041550,1,0.747658,0,3.000000,0.305997
6,11,28.076590,-24.515190,-1.570796,1,0.000000,0,1.000000,0.000000
7,1,11.572297,-18.917693,-1.262373,1,5.859006,1,84.000000,1.078774
7,2,14.771637,30.376100,-5.046771,1,0.075104,0,7.000000,1.148376
7,3,31.105021,-28.991570,-3.199927,1,1.626425,0,4.000000,0.681581
7,7,40.495651,-8.914969,-6.611832,1,0.852974,0,3.000000,0.133086
7,9,29.078917,9.457130,-3.141593,1,7.417007,1,1.000000,0.859036
7,10,28.805255,12.705986,-2.767199,1,2.524787,0,10.000000,0.934732
7,11,27.582308,-24.941366,-2.145374,1,0.540026,0,2.000000,0.231267
7,6,16.449482,35.665143,-1.969249,0,2.408829,1,4.000000,0.724358
8,1,12.338382,-18.859624,-1.175640,1,6.187507,1,76.000000,1.016989
8,2,14.837357,30.397001,-4.712389,1,0.147976,0,1.000000,1.148376
8,3,31.142049,-29.251571,-3.003795,1,1.806700,0,5.000000,2.214079
8,7,40.405758,-8.972979,-0.981476,1,0.506933,0,17.000000,1.291437
8,9,27.761719,9.223167,-3.230555,1,8.672509,1,4.000000,0.285430
8,10,27.640751,12.597313,-2.847512,1,5.060263,0,10.000000,0.811763
8,12,10.628380,27.802450,-1.570796,1,0.000000,0,1.000000,0.000000
8,6,16.397435,35.429950,-1.969249,0,2.408829,1,4.000000,0.724358
9,1,13.093533,-18.799989,-1.252463,1,6.415175,1,75.000000,1.224951
9,2,14.763199,30.315278,-4.121894,1,0.059728,0,4.000000,0.231100
9,3,31.172512,-29.338943,-2.978541,1,1.658922,0,3.000000,2.087845
9,6,16.298273,35.139581,-1.882185,1,2.506606,1,4.000000,0.357500
9,7,40.315669,-9.036669,-0.975421,1,0.242956,0,18.000000,1.318420
9,9,26.441859,9.173742,-3.595759,1,9.577054,1,5.000000,0.593546
9,10,26.272974,12.461106,-3.137676,1,7.445947,1,2.000000,0.676355
9,12,10.628380,27.802450,-1.570796,0,0.000000,0,1.000000,0.000000
10,1,13.838573,-18.739541,-1.276731,1,6.575355,1,72.000000,1.040493
10,2,14.780053,30.256434,-4.416692,1,0.133046,0,7.000000,1.934994
10,6,16.022488,35.104645,-1.973282,1,2.320859,1,2.000000,0.118792
10,7,40.265711,-9.065793,-0.902998,1,0.121527,0,14.000000,1.215864
10,9,25.198835,8.964856,-2.893036,1,10.115839,1,17.000000,1.311924
10,12,10.628856,27.803681,-1.570796,1,0.001754,0,1.000000,0.000000
10,3,31.196885,-29.503035,-2.978541,0,1.658922,0,3.000000,2.087845
10,10,25.530987,12.398834,-3.137676,0,7.445947,1,2.000000,0.676355
11,1,14.586677,-18.668747,-1.153135,1,6.707314,1,66.000000,0.898866
11,2,14.769091,30.267778,-3.636192,1,0.099458,0,8.000000,0.972599
11,3,31.124092,-28.993294,-3.141593,1,0.719295,0,1.000000,2.087845
11,7,40.213541,-9.114040,-0.895649,1,0.012856,0,19.000000,1.247622
11,9,23.916037,8.790060,-2.813323,1,10.587414,1,9.000000,0.918013
11,10,23.498661,12.217391,-2.838536,1,10.219159,1,17.000000,0.704936
11,13,33.570560,-2.574430,-1.570796,1,0.000000,0,1.000000,0.000000
11,14,25.463535,-4.894788,-1.144219,1,0.000000,0,143.000000,6.798183
11,12,10.628919,27.803845,-1.570796,0,0.001754,0,1.000000,0.000000
12,1,15.331954,-18.597195,-1.269226,1,6.810480,1,70.000000,1.302162
